,author,date,description,detection,falsepositives,fields,id,level,logsource,modified,references,related,status,tags,title,notes,enrichment,Note,analysis
10,"Teymur Kheirkhabarov, oscd.community",2019/11/01,Detects well-known credential dumping tools execution via specific named pipes,"{u'selection': {u'PipeName|contains': [u'\lsadump', u'\cachedump', u'\wceservicepipe']}, u'condition': u'selection'}",[Legitimate Administrator using tool for password recovery],,961d0ba2-3eea-4303-a930-2cf78bbfcc5e,critical,"{u'category': u'pipe_created', u'product': u'windows'}",2020/08/28,[https://www.slideshare.net/heirhabarov/hunting-for-credentials-dumping-in-windows-environment],,experimental,"[attack.credential_access, attack.t1003, attack.t1003.001, attack.t1003.002, attack.t1003.004, attack.t1003.005]",Cred Dump-Tools Named Pipes,,,,
11,Florian Roth,2021/08/23,Detects the pattern of a pipe name as used by the tool EfsPotato,"{u'selection': {u'PipeName|contains': [u'\pipe\', u'\pipe\srvsvc']}, u'condition': u'selection'}",[Unknown],,637f689e-b4a5-4a86-be0e-0100a0a33ba2,critical,"{u'category': u'pipe_created', u'definition': u'Note that you have to configure logging for PipeEvents in Sysmon config', u'product': u'windows'}",,"[https://twitter.com/SBousseaden/status/1429530155291193354?s=20, https://github.com/zcgonvh/EfsPotato]",,experimental,"[attack.defense_evasion, attack.privilege_escalation, attack.t1055]",EfsPotato Named Pipe,,,,
12,"Florian Roth, Wojciech Lesicki",2021/05/25,Detects the creation of a named pipe as used by CobaltStrike,"{u'selection_MSSE': {u'PipeName|contains|all': [u'\MSSE-', u'-server']}, u'selection_status': {u'PipeName|startswith': u'\status_'}, u'selection_postex': {u'PipeName|startswith': u'\postex_'}, u'selection_msagent': {u'PipeName|startswith': u'\msagent_'}, u'condition': u'1 of them', u'selection_postex_ssh': {u'PipeName|startswith': u'\postex_ssh_'}}",[Unknown],,d5601f8c-b26f-4ab0-9035-69e11a8d4ad2,critical,"{u'category': u'pipe_created', u'definition': u'Note that you have to configure logging for Named Pipe Events in Sysmon config (Event ID 17 and Event ID 18). The basic configuration is in popular sysmon configuration (https://github.com/SwiftOnSecurity/sysmon-config), but it is worth verifying. You can also use other repo, e.g. https://github.com/Neo23x0/sysmon-config, https://github.com/olafhartong/sysmon-modular', u'product': u'windows'}",,"[https://twitter.com/d4rksystem/status/1357010969264873472, https://labs.f-secure.com/blog/detecting-cobalt-strike-default-modules-via-named-pipe-analysis/, https://github.com/Neo23x0/sigma/issues/253, https://blog.cobaltstrike.com/2021/02/09/learn-pipe-fitting-for-all-of-your-offense-projects/]",,experimental,"[attack.defense_evasion, attack.privilege_escalation, attack.t1055]",CobaltStrike Named Pipe,,,,
13,Florian Roth,2021/07/30,Detects the creation of a named pipe matching a pattern used by CobaltStrike Malleable C2 profiles,"{u'selection': [{u'PipeName|re': u'\\\\mojo\.5688\.8052\.(?:183894939787088877|35780273329370473)[0-9a-f]{2}'}, {u'PipeName|re': u'\\\\wkssvc_?[0-9a-f]{2}'}, {u'PipeName|re': u'\\\\ntsvcs[0-9a-f]{2}'}, {u'PipeName|re': u'\\\\DserNamePipe[0-9a-f]{2}'}, {u'PipeName|re': u'\\\\SearchTextHarvester[0-9a-f]{2}'}, {u'PipeName|re': u'\\\\mypipe\-(?:f|h)[0-9a-f]{2}'}, {u'PipeName|re': u'\\\\windows\.update\.manager[0-9a-f]{2,3}'}, {u'PipeName|re': u'\\\\ntsvcs_[0-9a-f]{2}'}, {u'PipeName|re': u'\\\\scerpc_?[0-9a-f]{2}'}, {u'PipeName|re': u'\\\\PGMessagePipe[0-9a-f]{2}'}, {u'PipeName|re': u'\\\\MsFteWds[0-9a-f]{2}'}, {u'PipeName|re': u'\\\\f4c3[0-9a-f]{2}'}, {u'PipeName|re': u'\\\\fullduplex_[0-9a-f]{2}'}, {u'PipeName|re': u'\\\\msrpc_[0-9a-f]{4}'}, {u'PipeName|re': u'\\\\win\\\\msrpc_[0-9a-f]{2}'}, {u'PipeName|re': u'\\\\f53f[0-9a-f]{2}'}, {u'PipeName|re': u'\\\\rpc_[0-9a-f]{2}'}, {u'PipeName|re': u'\\\\spoolss_[0-9a-f]{2}'}, {u'PipeName|re': u'\\\\Winsock2\\\\CatalogChangeListener-[0-9a-f]{3}-0,'}], u'condition': u'selection'}",[Unknown],,0e7163d4-9e19-4fa7-9be6-000c61aad77a,critical,"{u'category': u'pipe_created', u'definition': u'Note that you have to configure logging for Named Pipe Events in Sysmon config (Event ID 17 and Event ID 18). The basic configuration is in popular sysmon configuration (https://github.com/SwiftOnSecurity/sysmon-config), but it is worth verifying. You can also use other repo, e.g. https://github.com/Neo23x0/sysmon-config, https://github.com/olafhartong/sysmon-modular', u'product': u'windows'}",2021/09/02,"[https://svch0st.medium.com/guide-to-named-pipes-and-hunting-for-cobalt-strike-pipes-dc46b2c5f575, https://gist.github.com/MHaggis/6c600e524045a6d49c35291a21e10752]",,experimental,"[attack.defense_evasion, attack.privilege_escalation, attack.t1055]",CobaltStrike Named Pipe Pattern Regex,,,,
14,"Florian Roth, blueteam0ps",2017/11/06,Detects the creation of a named pipe used by known APT malware,"{u'selection': {u'PipeName': [u'\isapi_http', u'\isapi_dg', u'\isapi_dg2', u'\sdlrpc', u'\ahexec', u'\winsession', u'\lsassw', u'\46a676ab7f179e511e30dd2dc41bd388', u'\9f81f59bc58452127884ce513865ed20', u'\e710f28d59aa529d6792ca6ff0ca1b34', u'\rpchlp_3', u'\NamePipe_MoreWindows', u'\pcheap_reuse', u'\gruntsvc', u'\583da945-62af-10e8-4902-a8f205c72b2e', u'\bizkaz', u'\svcctl', u'\Posh*', u'\jaccdpqnvbrrxlaf', u'\csexecsvc', u'\6e7645c4-32c5-4fe3-aabf-e94c2f4370e7']}, u'condition': u'selection'}",[Unknown],,fe3ac066-98bb-432a-b1e7-a5229cb39d4a,critical,"{u'category': u'pipe_created', u'definition': u'Note that you have to configure logging for PipeEvents in Sysmon config', u'product': u'windows'}",,[Various sources],,experimental,"[attack.defense_evasion, attack.privilege_escalation, attack.t1055]",Malicious Named Pipe,,,,
15,"Roberto Rodriguez (Cyb3rWard0g), OTR (Open Threat Research)",2019/09/12,Detects execution of PowerShell,"{u'selection': {u'PipeName|startswith': u'\PSHost'}, u'condition': u'selection'}",[Unknown],,ac7102b4-9e1e-4802-9b4f-17c5524c015c,informational,"{u'category': u'pipe_created', u'product': u'windows'}",,[https://threathunterplaybook.com/notebooks/windows/02_execution/WIN-190410151110.html],,experimental,"[attack.execution, attack.t1059.001]",T1086 PowerShell Execution,,,,
16,"Nikita Nazarov, oscd.community",2020/05/10,Detecting use PsExec via Pipe Creation/Access to pipes,"{u'selection': {u'PipeName|startswith': [u'psexec', u'paexec', u'remcom', u'csexec']}, u'condition': u'selection'}",[Legitimate Administrator activity],,9e77ed63-2ecf-4c7b-b09d-640834882028,medium,"{u'category': u'pipe_created', u'definition': u'Note that you have to configure logging for PipeEvents in Symson config', u'product': u'windows'}",,[https://drive.google.com/file/d/1lKya3_mLnR3UQuCoiYruO3qgu052_iS_/view],,experimental,"[attack.lateral_movement, attack.t1021.002]",PsExec Pipes Artifacts,,,,
17,Roberto Rodriguez @Cyb3rWard0g,2021/10/08,Detects suspicious local connections via a named pipe to the AD FS configuration database (Windows Internal Database). Used to access information such as the AD FS configuration settings which contains sensitive information used to sign SAML tokens.,"{u'filter': {u'Image|endswith': [u'Microsoft.IdentityServer.ServiceHost.exe', u'Microsoft.Identity.Health.Adfs.PshSurrogate.exe', u'AzureADConnect.exe', u'Microsoft.Tri.Sensor.exe', u'wsmprovhost.exe', u'mmc.exe', u'sqlservr.exe']}, u'selection': {u'PipeName': u'\MICROSOFT##WID\tsql\query'}, u'condition': u'selection and not filter'}",[Processes in the filter condition],,1ea13e8c-03ea-409b-877d-ce5c3d2c1cb3,critical,"{u'product': u'windows', u'service': u'pipe_connected'}",2021/10/08,"[https://github.com/Azure/Azure-Sentinel/blob/master/Detections/SecurityEvent/ADFSDBNamedPipeConnection.yaml, https://o365blog.com/post/adfs/, https://github.com/Azure/SimuLand]",,experimental,"[attack.collection, attack.t1005]",ADFS Database Named Pipe Connection,,,,
18,"Florian Roth, Christian Burkard",2021/07/30,Detects the creation of a named pipe with a pattern found in CobaltStrike malleable C2 profiles,"{u'filter': {u'PipeName': [u'\wkssvc', u'\spoolss', u'\scerpc', u'\ntsvcs', u'\SearchTextHarvester', u'\PGMessagePipe', u'\MsFteWds']}, u'selection_malleable_profiles': [{u'PipeName|startswith': ['\\mojo.5688.8052.183894939787088877', '\\mojo.5688.8052.35780273329370473', '\\mypipe-f', '\\mypipe-h', '\\ntsvcs', '\\scerpc', '\\win_svc', '\\spoolss', '\\msrpc_', '\\win\\msrpc_', '\\wkssvc', '\\f53f', '\\windows.update.manager', '\\SearchTextHarvester', '\\DserNamePipe', '\\PGMessagePipe', '\\MsFteWds', '\\f4c3', '\\fullduplex_', '\\rpc_']}, {u'PipeName': ['\\demoagent_11', '\\demoagent_22']}], u'condition': u'1 of selection_malleable_profile* and not filter', u'selection_malleable_profile_CatalogChangeListener': {u'PipeName|startswith': u'\Winsock2\CatalogChangeListener-', u'PipeName|endswith': u'-0,'}}",[Chrome instances using the exactly same name pipe named mojo.something],,85adeb13-4fc9-4e68-8a4a-c7cb2c336eb7,high,"{u'category': u'pipe_created', u'definition': u'Note that you have to configure logging for Named Pipe Events in Sysmon config (Event ID 17 and Event ID 18). The basic configuration is in popular sysmon configuration (https://github.com/SwiftOnSecurity/sysmon-config), but it is worth verifying. You can also use other repo, e.g. https://github.com/Neo23x0/sysmon-config, https://github.com/olafhartong/sysmon-modular', u'product': u'windows'}",2021/08/26,"[https://svch0st.medium.com/guide-to-named-pipes-and-hunting-for-cobalt-strike-pipes-dc46b2c5f575, https://gist.github.com/MHaggis/6c600e524045a6d49c35291a21e10752]",,experimental,"[attack.defense_evasion, attack.privilege_escalation, attack.t1055]",CobaltStrike Named Pipe Patterns,,,,
19,Florian Roth,2021/09/01,Detects the WMI Event Consumer service scrcons.exe creating a named pipe,"{u'selection': {u'Image|endswith': u'\scrcons.exe'}, u'condition': u'selection'}",[Unknown],,493fb4ab-cdcc-4c4f-818c-0e363bd1e4bb,high,"{u'category': u'pipe_created', u'definition': u'Note that you have to configure logging for Named Pipe Events in Sysmon config (Event ID 17 and Event ID 18). The basic configuration is in popular sysmon configuration (https://github.com/SwiftOnSecurity/sysmon-config), but it is worth verifying. You can also use other repo, e.g. https://github.com/Neo23x0/sysmon-config, https://github.com/olafhartong/sysmon-modular', u'product': u'windows'}",,[https://github.com/RiccardoAncarani/LiquidSnake],,experimental,,WMI Event Consumer Created Named Pipe,,,,
20,Austin Songer (@austinsonger),2021/10/21,Detects the use of stordiag.exe to execute schtasks.exe systeminfo.exe and fltmc.exe,"{u'filter': {u'ParentImage|startswith': [u'c:\windows\system32\', u'c:\windows\syswow64\']}, u'selection': {u'Image|endswith': [u'\schtasks.exe', u'\systeminfo.exe', u'\fltmc.exe'], u'ParentImage|endswith': u'\stordiag.exe'}, u'condition': u'selection and not filter'}",[Legitimate usage of stordiag.exe.],,961e0abb-1b1e-4c84-a453-aafe56ad0d34,high,"{u'category': u'process_creation', u'product': u'windows'}",,"[https://strontic.github.io/xcyclopedia/library/stordiag.exe-1F08FC87C373673944F6A7E8B18CD845.html, https://twitter.com/eral4m/status/1451112385041911809]",,experimental,"[attack.defense_evasion, attack.t1218]",Execution via stordiag.exe,,,,
21,Roberto Rodriguez @Cyb3rWard0g,2019/08/11,Detects alternate PowerShell hosts potentially bypassing detections looking for powershell.exe,"{u'filter': {u'HostApplication|startswith': u'C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe'}, u'selection': {u'HostApplication': u'*'}, u'condition': u'selection and not filter'}","[Programs using PowerShell directly without invocation of a dedicated interpreter, MSP Detection Searcher, Citrix ConfigSync.ps1]",,d7326048-328b-4d5e-98af-86e84b17c765,medium,"{u'category': u'ps_classic_start', u'definition': u'fields have to be extract from event', u'product': u'windows'}",2021/10/16,[https://threathunterplaybook.com/notebooks/windows/02_execution/WIN-190815181010.html],"[{u'type': u'derived', u'id': u'64e8e417-c19a-475a-8d19-98ea705394cc'}]",test,"[attack.execution, attack.t1059.001, attack.t1086]",Alternate PowerShell Hosts,,,,
22,frack113,2021/07/21,Adversaries may use a non-application layer protocol for communication between host and C2 server or among infected hosts within a network,"{u'selection': {u'HostApplication|contains': [u'powercat ', u'powercat.ps1']}, u'condition': u'selection'}",[Unknown],,c5b20776-639a-49bf-94c7-84f912b91c15,medium,"{u'category': u'ps_classic_start', u'definition': u'fields have to be extract from event', u'product': u'windows'}",2021/10/16,"[https://nmap.org/ncat/, https://github.com/besimorhino/powercat, https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1095/T1095.md]","[{u'type': u'derived', u'id': u'bf7286e7-c0be-460b-a7e8-5b2e07ecc2f2'}]",experimental,"[attack.command_and_control, attack.t1095]",Netcat The Powershell Version,,,,
23,Roberto Rodriguez @Cyb3rWard0g,2019/08/10,Detects remote PowerShell sessions,"{u'selection': {u'HostName': u'ServerRemoteHost', u'HostApplication|contains': u'wsmprovhost.exe'}, u'condition': u'selection'}",[Legitimate use remote PowerShell sessions],,60167e5c-84b2-4c95-a7ac-86281f27c445,high,"{u'category': u'ps_classic_start', u'definition': u'fields have to be extract from event', u'product': u'windows'}",2021/10/16,[https://threathunterplaybook.com/notebooks/windows/02_execution/WIN-190511223310.html],"[{u'type': u'derived', u'id': u'96b9f619-aa91-478f-bacb-c3e50f8df575'}]",test,"[attack.execution, attack.t1059.001, attack.t1086, attack.lateral_movement, attack.t1021.006, attack.t1028]",Remote PowerShell Session,,,,
24,Florian Roth,2017/03/05,Detects suspicious PowerShell download command,"{u'downloadfile': {u'HostApplication|contains|all': [u'System.Net.WebClient', u'.DownloadFile(']}, u'downloadstring': {u'HostApplication|contains|all': [u'System.Net.WebClient', u'.DownloadString(']}, u'condition': u'downloadfile or downloadstring'}",[PowerShell scripts that download content from the Internet],,3236fcd0-b7e3-4433-b4f8-86ad61a9af2d,medium,"{u'category': u'ps_classic_start', u'definition': u'fields have to be extract from event', u'product': u'windows'}",2021/10/16,,"[{u'type': u'derived', u'id': u'65531a81-a694-4e31-ae04-f8ba5bc33759'}]",experimental,"[attack.execution, attack.t1059.001, attack.t1086]",Suspicious PowerShell Download,,,,
25,frack113,2021/07/13,"RemoteFXvGPUDisablement.exe is an abusable, signed PowerShell host executable that was introduced in Windows 10 and Server 2019 (OS Build 17763.1339).","{u'selection_cmd': {u'HostApplication|contains': u'Invoke-ATHRemoteFXvGPUDisablementCommand '}, u'selection_opt': {u'HostApplication|contains': [u'-ModuleName ', u'-ModulePath ', u'-ScriptBlock ', u'-RemoteFXvGPUDisablementFilePath']}, u'condition': u'selection_cmd and selection_opt'}",[Unknown],"[ComputerName, User, CommandLine, ParentCommandLine]",f65e22f9-819e-4f96-9c7b-498364ae7a25,medium,"{u'definition': u'fields have to be extract from event', u'product': u'windows', u'service': u'powershell-classic'}",2021/09/07,"[https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1218/T1218.md, https://github.com/redcanaryco/AtomicTestHarnesses/blob/master/TestHarnesses/T1218_SignedBinaryProxyExecution/InvokeRemoteFXvGPUDisablementCommand.ps1]","[{u'type': u'derived', u'id': u'38a7625e-b2cb-485d-b83d-aff137d859f4'}]",experimental,"[attack.defense_evasion, attack.t1218]",Abusable Invoke-ATHRemoteFXvGPUDisablementCommand,,,,
26,frack113,2021/07/20,Use living off the land tools to zip a file and stage it in the Windows temporary folder for later exfiltration,"{u'selection': {u'HostApplication|contains|all': [u'Compress-Archive ', u' -Path ', u' -DestinationPath ', u'$env:TEMP\']}, u'condition': u'selection'}",[Unknown],,71ff406e-b633-4989-96ec-bc49d825a412,medium,"{u'definition': u'fields have to be extract from event', u'product': u'windows', u'service': u'powershell-classic'}",2021/09/07,[https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1074.001/T1074.001.md],"[{u'type': u'derived', u'id': u'b7a3c9a3-09ea-4934-8864-6a32cacd98d9'}]",experimental,"[attack.collection, attack.t1074.001]",Zip A Folder With PowerShell For Staging In Temp,,,,
27,frack113,2021/06/03,Shadow Copies deletion using operating systems utilities via PowerShell,"{u'selection_del': {u'HostApplication|contains': [u'Delete()', u'Remove-WmiObject']}, u'selection_obj': {u'HostApplication|contains|all': [u'Get-WmiObject', u' Win32_Shadowcopy']}, u'condition': u'selection_obj and selection_del'}",[Legitimate Administrator deletes Shadow Copies using operating systems utilities for legitimate reason],[HostApplication],87df9ee1-5416-453a-8a08-e8d4a51e9ce1,critical,"{u'category': u'ps_classic_start', u'definition': u'fields have to be extract from event', u'product': u'windows'}",2021/10/16,"[https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1490/T1490.md, https://github.com/SigmaHQ/sigma/blob/master/rules/windows/process_creation/win_shadow_copies_deletion.yml, https://www.fortinet.com/blog/threat-research/stomping-shadow-copies-a-second-look-into-deletion-methods]",,experimental,"[attack.impact, attack.t1490]",Delete Volume Shadow Copies Via WMI With PowerShell,,,,
28,"Florian Roth (rule), Lee Holmes (idea), Harish Segar (improvements)",2017/03/22,Detects PowerShell downgrade attack by comparing the host versions with the actually used engine version 2.0,"{u'filter': {u'HostVersion|startswith': u'2.'}, u'selection': {u'EngineVersion|startswith': u'2.'}, u'condition': u'selection and not filter'}","[Penetration Test, Unknown]",,6331d09b-4785-4c13-980f-f96661356249,medium,"{u'category': u'ps_classic_start', u'definition': u'fields have to be extract from event', u'product': u'windows'}",2021/10/16,[http://www.leeholmes.com/blog/2017/03/17/detecting-and-preventing-powershell-downgrade-attacks/],,experimental,"[attack.defense_evasion, attack.execution, attack.t1059.001, attack.t1086]",PowerShell Downgrade Attack,,,,
29,"Sean Metcalf (source), Florian Roth (rule)",2017/03/05,Detects PowerShell called from an executable by the version mismatch method,"{u'selection1': {u'HostVersion|startswith': u'3.', u'EngineVersion|startswith': [u'2.', u'4.', u'5.']}, u'condition': u'selection1'}","[Penetration Tests, Unknown]",,c70e019b-1479-4b65-b0cc-cd0c6093a599,high,"{u'category': u'ps_classic_start', u'definition': u'fields have to be extract from event', u'product': u'windows'}",2021/10/16,[https://adsecurity.org/?p=2921],,experimental,"[attack.defense_evasion, attack.execution, attack.t1059.001, attack.t1086]",PowerShell Called from an Executable Version Mismatch,,,,
30,"Harish Segar, frack113",2020/06/29,Detects renamed powershell,"{u'filter': {u'HostApplication|startswith': [u'powershell.exe', u'C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe']}, u'selection': {u'HostName': u'ConsoleHost'}, u'condition': u'selection and not filter'}",[unknown],,30a8cb77-8eb3-4cfb-8e79-ad457c5a4592,low,"{u'category': u'ps_classic_start', u'definition': u'fields have to be extract from event', u'product': u'windows'}",2021/10/16,[https://speakerdeck.com/heirhabarov/hunting-for-powershell-abuse],,test,"[attack.execution, attack.t1086, attack.t1059.001]",Renamed Powershell Under Powershell Channel,,,,
31,frack113,2021/06/07,Attempting to disable scheduled scanning and other parts of windows defender atp.,"{u'tamper_ps_action': {u'HostApplication|contains': u'Set-MpPreference'}, u'condition': u'tamper_ps_action and  tamper_ps_option', u'tamper_ps_option': {u'HostApplication|contains': [u'-DisableRealtimeMonitoring 1', u'-DisableBehaviorMonitoring 1', u'-DisableScriptScanning 1', u'-DisableBlockAtFirstSeen 1']}}",[Unknown],,ec19ebab-72dc-40e1-9728-4c0b805d722c,high,"{u'category': u'ps_classic_provider_start', u'definition': u'fields have to be extract from event', u'product': u'windows'}",2021/10/16,[https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1562.001/T1562.001.md],,experimental,"[attack.defense_evasion, attack.t1562.001]",Tamper Windows Defender,,,,
